match_id,date,team1,team2,venue,city,winner
1085945,2017-06-24,New Zealand,Sri Lanka,County Ground,Bristol,New Zealand
1085946,2017-06-24,England,India,County Ground,Derby,India
1085947,2017-06-25,Pakistan,South Africa,Grace Road,Leicester,South Africa
1085948,2017-06-26,Australia,West Indies,County Ground,Taunton,Australia
1085949,2017-06-27,England,Pakistan,Grace Road,Leicester,England
1085951,2017-06-29,India,West Indies,County Ground,Taunton,India
1085952,2017-06-29,Australia,Sri Lanka,County Ground,Bristol,Australia
1085953,2017-07-02,England,Sri Lanka,County Ground,Taunton,England
1085954,2017-07-02,Australia,New Zealand,County Ground,Bristol,Australia
1085955,2017-07-02,India,Pakistan,County Ground,Derby,India
1085956,2017-07-02,South Africa,West Indies,Grace Road,Leicester,South Africa
1085957,2017-07-05,England,South Africa,County Ground,Bristol,England
1085958,2017-07-05,India,Sri Lanka,County Ground,Derby,India
1085959,2017-07-05,Australia,Pakistan,Grace Road,Leicester,Australia
1085960,2017-07-06,New Zealand,West Indies,County Ground,Taunton,New Zealand
1085961,2017-07-08,New Zealand,Pakistan,County Ground,Taunton,New Zealand
1085962,2017-07-08,India,South Africa,Grace Road,Leicester,South Africa
1085963,2017-07-09,England,Australia,County Ground,Bristol,England
1085964,2017-07-09,Sri Lanka,West Indies,County Ground,Derby,West Indies
1085965,2017-07-11,Pakistan,West Indies,Grace Road,Leicester,West Indies
1085966,2017-07-12,South Africa,Sri Lanka,County Ground,Taunton,South Africa
1085967,2017-07-12,Australia,India,County Ground,Bristol,Australia
1085968,2017-07-12,England,New Zealand,County Ground,Derby,England
1085969,2017-07-15,Australia,South Africa,County Ground,Taunton,Australia
1085970,2017-07-15,England,West Indies,County Ground,Bristol,England
1085971,2017-07-15,India,New Zealand,County Ground,Derby,India
1085972,2017-07-15,Pakistan,Sri Lanka,Grace Road,Leicester,Sri Lanka
1085973,2017-07-18,South Africa,England,County Ground,Bristol,England
1085974,2017-07-20,India,Australia,County Ground,Derby,India
1085975,2017-07-23,England,India,Lord's,London,England
1243908,2022-03-04,West Indies,New Zealand,"Bay Oval, Mount Maunganui",Mount Maunganui,West Indies
1243909,2022-03-05,South Africa,Bangladesh,"University Oval, Dunedin",Dunedin,South Africa
1243910,2022-03-05,Australia,England,"Seddon Park, Hamilton",Hamilton,Australia
1243911,2022-03-06,India,Pakistan,"Bay Oval, Mount Maunganui",Mount Maunganui,India
1243912,2022-03-07,Bangladesh,New Zealand,"University Oval, Dunedin",Dunedin,New Zealand
1243913,2022-03-08,Pakistan,Australia,"Bay Oval, Mount Maunganui",Mount Maunganui,Australia
1243914,2022-03-09,West Indies,England,"University Oval, Dunedin",Dunedin,West Indies
1243915,2022-03-10,New Zealand,India,"Seddon Park, Hamilton",Hamilton,New Zealand
1243916,2022-03-11,South Africa,Pakistan,"Bay Oval, Mount Maunganui",Mount Maunganui,South Africa
